% 1. Title: sin ln Function Dataset
%
% 2. Sources:
%      (a) Creators: Michael Camarata, Ariesh Grover, Miguel Lima, Jaden Martinez
%      (b) Donar: N/A
%      (c) Date: April, 2023
@RELATION math

@ATTRIBUTE x            NUMERIC
@ATTRIBUTE y            NUMERIC
@ATTRIBUTE fixed_value  NUMERIC
@ATTRIBUTE output       NUMERIC

@DATA
39.0,39.0,-1,8.026840727781106
98.0,98.0,-1,9.864123262127212
94.0,94.0,-1,9.780868350606783
4.0,4.0,-1,4.020629694263439
45.0,45.0,-1,8.311407974214982
58.0,58.0,-1,8.81700496548061
82.0,82.0,-1,9.508072663388036
23.0,23.0,-1,6.983002417474124
31.0,31.0,-1,7.571516412718553
26.0,26.0,-1,7.22411076821905
63.0,63.0,-1,8.981935522367104
90.0,90.0,-1,9.69400093641114
24.0,24.0,-1,7.0665849961956075
73.0,73.0,-1,9.275942234363928
60.0,60.0,-1,8.884613307821853
17.0,17.0,-1,6.394049794017482
59.0,59.0,-1,8.851093977117289
30.0,30.0,-1,7.506640495156584
3.0,3.0,-1,3.731842742704055
55.0,55.0,-1,8.71111823767329
9.0,9.0,-1,5.209245500986695
38.0,38.0,-1,7.975239859998761
97.0,97.0,-1,9.843631836622643
70.0,70.0,-1,9.192178063160933
77.0,77.0,-1,9.382444364109016
44.0,44.0,-1,8.266689048075843
83.0,83.0,-1,9.532279774453595
53.0,53.0,-1,8.637289719013923
87.0,87.0,-1,9.62628442144771
74.0,74.0,-1,9.303103183006643
11.0,11.0,-1,5.570813185618558
25.0,25.0,-1,7.146872591799134
48.0,48.0,-1,8.439887583560138
50.0,50.0,-1,8.52119158140204
89.0,89.0,-1,9.67168222718683
14.0,14.0,-1,6.022001464241032
51.0,51.0,-1,8.560641634088176
22.0,22.0,-1,6.895849183098441
42.0,42.0,-1,8.174152109194237
76.0,76.0,-1,9.356344862518528
88.0,88.0,-1,9.649111964741792
36.0,36.0,-1,7.867895081315136
20.0,20.0,-1,6.709546798875932
7.0,7.0,-1,4.783636809465607
66.0,66.0,-1,9.074751819815665
91.0,91.0,-1,9.716073631117125
99.0,99.0,-1,9.88440708061155
49.0,49.0,-1,8.48095096209055
6.0,6.0,-1,4.5436580245804885
29.0,29.0,-1,7.439615045897312
35.0,35.0,-1,7.8119998199470135
54.0,54.0,-1,8.67454344661002
85.0,85.0,-1,9.579833584601438
68.0,68.0,-1,9.134324751389661
16.0,16.0,-1,6.277225313023548
15.0,15.0,-1,6.153480933243293
95.0,95.0,-1,9.802008874015005
81.0,81.0,-1,9.483569414946883
5.0,5.0,-1,4.2872256534707525
79.0,79.0,-1,9.433644935433614
92.0,92.0,-1,9.737905669291667
21.0,21.0,-1,6.804814560335901
47.0,47.0,-1,8.397967255416926
32.0,32.0,-1,7.634374928954494
84.0,84.0,-1,9.556197810505953
64.0,64.0,-1,9.013354155204738
1.0,1.0,-1,-0.2657770941031935
52.0,52.0,-1,8.599331466972982
12.0,12.0,-1,5.731871340922076
2.0,2.0,-1,2.9887389685055186
8.0,8.0,-1,5.005270247391173
34.0,34.0,-1,7.754511164534592
67.0,67.0,-1,9.104759588992462
57.0,57.0,-1,8.78232663445077
62.0,62.0,-1,8.95001672795223
71.0,71.0,-1,9.220490273286808
27.0,27.0,-1,7.298519114279277
41.0,41.0,-1,8.126236582154528
56.0,56.0,-1,8.747038315636635
100.0,100.0,-1,9.90448745237909
86.0,86.0,-1,9.603193672073738
72.0,72.0,-1,9.248408057704886
61.0,61.0,-1,8.917581633240015
43.0,43.0,-1,8.220952791029456
10.0,10.0,-1,5.397165581783785
93.0,93.0,-1,9.759502235972938
40.0,40.0,-1,8.077152144363899
19.0,19.0,-1,6.609645935056064
78.0,78.0,-1,9.408208218573067
69.0,69.0,-1,9.163460146212177
33.0,33.0,-1,7.695336486722753
80.0,80.0,-1,9.458762705169864
13.0,13.0,-1,5.881835507159358
96.0,96.0,-1,9.822928515002223
37.0,37.0,-1,7.922282211104687
18.0,18.0,-1,6.50465507224588
65.0,65.0,-1,9.044288021976191
28.0,28.0,-1,7.370294709876134
75.0,75.0,-1,9.329900868481008
46.0,46.0,-1,8.355153621536031
