% 1. Title: sin ln Function Dataset
%
% 2. Sources:
%      (a) Creators: Michael Camarata, Ariesh Grover, Miguel Lima, Jaden Martinez
%      (b) Donar: N/A
%      (c) Date: April, 2023
@RELATION math

@ATTRIBUTE x            NUMERIC
@ATTRIBUTE y            NUMERIC
@ATTRIBUTE fixed_value  NUMERIC
@ATTRIBUTE output       NUMERIC

@DATA
84.59776330097976,76.03748589108994,-1,9.39947613117528
42.63658650225366,26.632758279003372,-1,8.753046460642132
51.616197415492245,41.08847960759101,-1,8.870844896080152
78.59606031444248,31.027959881813818,-1,8.760328831935844
48.183098461083226,58.754821906048086,-1,8.157198156379572
90.90317563433818,50.963998725921634,-1,9.189478744560718
28.901946595570678,75.82461621156517,-1,8.729651620018382
62.21853067085783,25.800127794881615,-1,8.9822705936987
91.06487934085577,98.29576212772766,-1,10.687870839801278
81.21150636366237,90.31442909351868,-1,9.953942475413678
